Designator,Val,Footprint,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,11.81608,-21.04136,90,T
C2,10pF,C_0402_1005Metric,21.82876,-6.28396,90,T
C3,10pF,C_0402_1005Metric,18.90268,-2.84988,0,T
C4,10uF,C_0402_1005Metric,8.64108,-5.03936,180,T
C5,1uF,C_0402_1005Metric,6.45668,-20.7772,90,T
C6,0.1uF,C_0402_1005Metric,8.636,-6.08076,180,T
C7,0.1uF,C_0402_1005Metric,8.64108,-8.08736,180,T
C8,0.1uF,C_0402_1005Metric,13.03528,-21.04136,90,T
C9,0.1uF,C_0402_1005Metric,9.40308,-18.75536,180,T
C10,1uF,C_0402_1005Metric,31.24708,-9.99236,0,T
C11,0.1uF,C_0402_1005Metric,31.24708,-11.51636,0,T
C12,0.1uF,C_0402_1005Metric,31.24708,-13.04036,0,T
C13,1uF,C_0402_1005Metric,21.44268,-2.314,270,T
C14,5.6pF,C_0402_1005Metric,14.69644,-1.04648,270,T
J1,FPC 1x18,Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,36.58108,-13.04036,90,T
J2,USB2.0_type_c,USB_C_Receptacle_XKB_U262-16XN-4BVC11,2.29108,-10.62736,270,T
L1,DNP,L_0603_1608Metric,17.018,-1.10236,0,T
L2,DNP,L_0603_1608Metric,9.97712,-1.25476,180,T
Q1,S8050,SOT-23,14.99108,-13.92936,270,T
Q2,S8050,SOT-23,14.99108,-17.48536,270,T
Q3,AO3401A,SOT-23,27.69108,-6.05536,270,T
R1,12K,R_0402_1005Metric,20.39112,-2.32664,270,T
R2,12K,R_0402_1005Metric,17.78508,-13.67536,270,T
R3,12K,R_0402_1005Metric,17.78508,-17.23136,270,T
R4,47k,R_0402_1005Metric,25.02408,-6.18236,270,T
R5,33,R_0402_1005Metric,8.65124,-10.65276,180,T
R6,33,R_0402_1005Metric,8.64108,-9.63676,180,T
R7,DNP,R_0402_1005Metric,4.85648,-17.43456,180,T
R8,12k,R_0402_1005Metric,8.634,-3.06832,0,T
R10,12k,R_0402_1005Metric,12.7254,-1.60528,0,T
R11,12k,R_0402_1005Metric,22.5044,-2.32664,270,T
R12,12k,R_0402_1005Metric,23.22576,-6.2972,90,T
R13,470,R_0402_1005Metric,4.84408,-18.50136,180,T
R14,47k,R_0402_1005Metric,31.24708,-14.69136,180,T
SW1,key_reset/user,SW_SPST_B3U-3000P-B,1.52908,-18.50136,90,T
SW2,key_flash,SW_SPST_B3U-3000P-B,1.78308,-2.75336,90,T
U1,XC6206PxxxMR,SOT-23W,8.89508,-21.29536,180,T
U2,ESP8266EX,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,13.46708,-5.29336,270,T
U3,W25Q32 4Mb flash,SOIC-8_5.23x5.23mm_P1.27mm,24.89708,-12.15136,0,T
U4,CP2104,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,9.91108,-14.69136,270,T
U5,XPT2046TS,TSSOP-16_4.4x5mm_P0.65mm,24.64308,-19.26336,180,T
Y1,26Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,19.43608,-5.49148,270,T
